TEAM_ID,TEAM_ABBREVIATION,PLAYER_ID,PLAYER_NAME,PLAYER_SLUG,POSITION,HEIGHT,WEIGHT,AGE,EXPERIENCE
1610612745,HOU,1629645,Kevin Porter Jr.,kevin-porter-jr,G-F,6-4,203,20.0,1
1610612745,HOU,1627863,Danuel House Jr.,danuel-house-jr,F-G,6-6,220,27.0,4
1610612745,HOU,203957,Dante Exum,dante-exum,G,6-5,214,25.0,5
1610612745,HOU,1630231,Kenyon Martin Jr.,kenyon-martin-jr,F,6-6,215,20.0,R
1610612745,HOU,1630256,Jae'Sean Tate,jaesean-tate,F,6-4,230,25.0,R
1610612745,HOU,203482,Kelly Olynyk,kelly-olynyk,F-C,6-11,240,29.0,7
1610612745,HOU,201569,Eric Gordon,eric-gordon,G,6-3,215,32.0,12
1610612745,HOU,202340,Avery Bradley,avery-bradley,G,6-3,180,30.0,10
1610612745,HOU,201571,D.J. Augustin,dj-augustin,G,5-11,183,33.0,12
1610612745,HOU,203463,Ben McLemore,ben-mclemore,G,6-3,195,28.0,7
1610612745,HOU,1628383,Justin Patton,justin-patton,C,6-11,241,23.0,3
1610612745,HOU,1630237,Anthony Lamb,anthony-lamb,F,6-6,227,23.0,R
1610612745,HOU,1626174,Christian Wood,christian-wood,F,6-10,214,25.0,4
1610612751,BKN,1629617,Reggie Perry,reggie-perry,F-C,6-8,250,21.0,R
1610612751,BKN,1628971,Bruce Brown,bruce-brown,G-F,6-4,202,24.0,2
1610612751,BKN,201933,Blake Griffin,blake-griffin,F,6-9,250,32.0,10
1610612751,BKN,1629185,Chris Chiozza,chris-chiozza,G,5-11,175,25.0,2
1610612751,BKN,201599,DeAndre Jordan,deandre-jordan,C,6-11,265,32.0,12
1610612751,BKN,201142,Kevin Durant,kevin-durant,F,6-10,240,32.0,12
1610612751,BKN,201145,Jeff Green,jeff-green,F,6-8,235,34.0,12
1610612751,BKN,1627789,Timothe Luwawu-Cabarrot,timothe-luwawu-cabarrot,G-F,6-7,220,25.0,4
1610612751,BKN,204020,Tyler Johnson,tyler-johnson,G,6-3,186,28.0,6
1610612751,BKN,202681,Kyrie Irving,kyrie-irving,G,6-2,195,29.0,9
1610612751,BKN,203925,Joe Harris,joe-harris,G-F,6-6,220,29.0,6
1610612751,BKN,201935,James Harden,james-harden,G,6-5,220,31.0,11
1610612751,BKN,1629013,Landry Shamet,landry-shamet,G,6-4,190,24.0,2
1610612751,BKN,1628993,Alize Johnson,alize-johnson,F,6-7,212,24.0,2
1610612751,BKN,203915,Spencer Dinwiddie,spencer-dinwiddie,G,6-5,215,27.0,6
1610612751,BKN,1629651,Nicolas Claxton,nicolas-claxton,F-C,6-11,215,21.0,1
1610612747,LAL,1628398,Kyle Kuzma,kyle-kuzma,F,6-10,221,25.0,3
1610612747,LAL,203484,Kentavious Caldwell-Pope,kentavious-caldwell-pope,G,6-5,204,28.0,7
1610612747,LAL,203076,Anthony Davis,anthony-davis,F-C,6-10,253,28.0,8
1610612747,LAL,1627936,Alex Caruso,alex-caruso,G,6-4,186,27.0,3
1610612747,LAL,1629659,Talen Horton-Tucker,talen-horton-tucker,G,6-4,234,20.0,1
1610612747,LAL,202083,Wesley Matthews,wesley-matthews,G,6-4,220,34.0,11
1610612747,LAL,201162,Jared Dudley,jared-dudley,F,6-6,237,35.0,13
1610612747,LAL,1629719,Devontae Cacok,devontae-cacok,F,6-7,240,24.0,1
1610612747,LAL,201188,Marc Gasol,marc-gasol,C,6-11,255,36.0,12
1610612747,LAL,1626149,Montrezl Harrell,montrezl-harrell,F-C,6-7,240,27.0,5
1610612747,LAL,203471,Dennis Schroder,dennis-schroder,G,6-3,172,27.0,7
1610612747,LAL,2544,LeBron James,lebron-james,F,6-9,250,36.0,17
1610612747,LAL,1628035,Alfonzo McKinnie,alfonzo-mckinnie,F,6-7,215,28.0,3
1610612747,LAL,1628961,Kostas Antetokounmpo,kostas-antetokounmpo,F,6-10,200,23.0,2
1610612747,LAL,202693,Markieff Morris,markieff-morris,F,6-9,245,31.0,9
1610612753,ORL,1628371,Jonathan Isaac,jonathan-isaac,F,6-11,230,23.0,3
1610612753,ORL,1629643,Chuma Okeke,chuma-okeke,F,6-6,229,22.0,R
1610612753,ORL,1630211,Karim Mane,karim-mane,G,6-3,190,20.0,R
1610612753,ORL,1628964,Mo Bamba,mo-bamba,C,7-0,231,22.0,2
1610612753,ORL,203487,Michael Carter-Williams,michael-carter-williams,G,6-5,190,29.0,7
1610612753,ORL,1628407,Dwayne Bacon,dwayne-bacon,G-F,6-6,221,25.0,3
1610612753,ORL,203516,James Ennis III,james-ennis-iii,F,6-6,215,30.0,6
1610612753,ORL,1630181,R.J. Hampton,rj-hampton,G,6-4,175,20.0,R
1610612753,ORL,203914,Gary Harris,gary-harris,G,6-4,210,26.0,6
1610612753,ORL,1628365,Markelle Fultz,markelle-fultz,G,6-3,209,22.0,3
1610612753,ORL,203490,Otto Porter Jr.,otto-porter-jr,F,6-8,198,27.0,7
1610612753,ORL,203920,Khem Birch,khem-birch,C,6-9,233,28.0,3
1610612753,ORL,1626184,Chasson Randle,chasson-randle,G,6-2,185,28.0,3
1610612753,ORL,203082,Terrence Ross,terrence-ross,G-F,6-6,206,30.0,8
1610612753,ORL,1628976,Wendell Carter Jr.,wendell-carter-jr,C-F,6-10,270,21.0,2
1610612753,ORL,1630175,Cole Anthony,cole-anthony,G,6-2,185,20.0,R
1610612752,NYK,1629607,Jared Harper,jared-harper,G,5-10,175,23.0,1
1610612752,NYK,1630167,Obi Toppin,obi-toppin,F,6-9,220,23.0,R
