TEAM_ABBREVIATION,HOME_AWAY,MATCHUP,LINEUP_DESC,TO_PLAY_DESC,PLAYER_NAME,NAME_SHORT,STARTING_POSITION,CREATE_DTTM
HOU,is-visit,HOULAC,is-expected,Very Likely To Play,Kevin Porter,Kevin Porter,PG,2021-04-09 10:03:27.857055
HOU,is-visit,HOULAC,is-expected,Very Likely To Play,Avery Bradley,Avery Bradley,SG,2021-04-09 10:03:27.857055
HOU,is-visit,HOULAC,is-expected,Very Likely To Play,Jae'Sean Tate,Jae'Sean Tate,SF,2021-04-09 10:03:27.857055
HOU,is-visit,HOULAC,is-expected,Very Likely To Play,Kelly Olynyk,Kelly Olynyk,PF,2021-04-09 10:03:27.857055
HOU,is-visit,HOULAC,is-expected,Very Likely To Play,Christian Wood,C. Wood,C,2021-04-09 10:03:27.857055
HOU,is-visit,HOULAC,,Very Likely To Play,Armoni Brooks,A. Brooks,G,2021-04-09 10:03:27.857055
HOU,is-visit,HOULAC,,Very Unlikely To Play,Dante Exum,Dante Exum,G,2021-04-09 10:03:27.857055
HOU,is-visit,HOULAC,,Very Unlikely To Play,Eric Gordon,E. Gordon,G,2021-04-09 10:03:27.857055
HOU,is-visit,HOULAC,,Very Unlikely To Play,Danuel House,D. House,F,2021-04-09 10:03:27.857055
HOU,is-visit,HOULAC,,Very Unlikely To Play,David Nwaba,D. Nwaba,F,2021-04-09 10:03:27.857055
HOU,is-visit,HOULAC,,Very Unlikely To Play,John Wall,John Wall,G,2021-04-09 10:03:27.857055
LAC,is-home,HOULAC,is-expected,Very Likely To Play,Patrick Beverley,P. Beverley,PG,2021-04-09 10:03:27.857055
LAC,is-home,HOULAC,is-expected,Very Likely To Play,Paul George,Paul George,SG,2021-04-09 10:03:27.857055
LAC,is-home,HOULAC,is-expected,Very Likely To Play,Kawhi Leonard,Kawhi Leonard,SF,2021-04-09 10:03:27.857055
LAC,is-home,HOULAC,is-expected,Very Likely To Play,Marcus Morris,Marcus Morris,PF,2021-04-09 10:03:27.857055
LAC,is-home,HOULAC,is-expected,Very Likely To Play,Ivica Zubac,Ivica Zubac,C,2021-04-09 10:03:27.857055
LAC,is-home,HOULAC,,Very Likely To Play,Serge Ibaka,S. Ibaka,C,2021-04-09 10:03:27.857055
LAC,is-home,HOULAC,,Very Likely To Play,Jay Scrubb,Jay Scrubb,G,2021-04-09 10:03:27.857055
