,GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION,VIDEO_AVAILABLE_FLAG
272,0021700277,372,3,13,3,8:34 PM,6:56,,,MISS Mills Free Throw 1 of 3,,,5.0,201988,Patty Mills,1610612759.0,San Antonio,Spurs,SAS,0,0,,,,,,0,0,,,,,,0
273,0021700277,373,4,1,3,8:34 PM,6:56,,,Spurs Rebound,,,3.0,1610612759,,,,,,0,0,,,,,,0,0,,,,,,0
274,0021700277,374,3,14,3,8:34 PM,6:56,,,Mills Free Throw 2 of 3 (7 PTS),58 - 42,-16,5.0,201988,Patty Mills,1610612759.0,San Antonio,Spurs,SAS,0,0,,,,,,0,0,,,,,,0
275,0021700277,375,3,15,3,8:34 PM,6:56,,,Mills Free Throw 3 of 3 (8 PTS),59 - 42,-17,5.0,201988,Patty Mills,1610612759.0,San Antonio,Spurs,SAS,0,0,,,,,,0,0,,,,,,0
276,0021700277,376,5,2,3,8:34 PM,6:43,Williams Lost Ball Turnover (P1.T9),,Anderson STEAL (4 STL),,,4.0,101107,Marvin Williams,1610612766.0,Charlotte,Hornets,CHA,5,203937,Kyle Anderson,1610612759.0,San Antonio,Spurs,SAS,0,0,,,,,,1
277,0021700277,378,2,1,3,8:35 PM,6:20,,,MISS Gasol 27' 3PT Jump Shot,,,5.0,2200,Pau Gasol,1610612759.0,San Antonio,Spurs,SAS,0,0,,,,,,0,0,,,,,,1
278,0021700277,379,4,0,3,8:35 PM,6:16,,,Aldridge REBOUND (Off:1 Def:3),,,5.0,200746,LaMarcus Aldridge,1610612759.0,San Antonio,Spurs,SAS,0,0,,,,,,0,0,,,,,,1
279,0021700277,380,2,105,3,8:35 PM,6:00,,,MISS Aldridge 12' Turnaround Fadeaway Bank Jump Shot,,,5.0,200746,LaMarcus Aldridge,1610612759.0,San Antonio,Spurs,SAS,0,0,,,,,,0,0,,,,,,1
280,0021700277,381,4,0,3,8:35 PM,5:56,,,Anderson REBOUND (Off:1 Def:2),,,5.0,203937,Kyle Anderson,1610612759.0,San Antonio,Spurs,SAS,0,0,,,,,,0,0,,,,,,1
281,0021700277,382,2,97,3,8:35 PM,5:56,,,MISS Anderson 1' Tip Layup Shot,,,5.0,203937,Kyle Anderson,1610612759.0,San Antonio,Spurs,SAS,0,0,,,,,,0,0,,,,,,1
282,0021700277,383,4,0,3,8:35 PM,5:55,Howard REBOUND (Off:4 Def:6),,,,,4.0,2730,Dwight Howard,1610612766.0,Charlotte,Hornets,CHA,0,0,,,,,,0,0,,,,,,1
283,0021700277,384,2,79,3,8:35 PM,5:47,MISS Carter-Williams 16' Pullup Jump Shot,,,,,4.0,203487,Michael Carter-Williams,1610612766.0,Charlotte,Hornets,CHA,0,0,,,,,,0,0,,,,,,1
284,0021700277,385,4,0,3,8:35 PM,5:43,,,Aldridge REBOUND (Off:1 Def:4),,,5.0,200746,LaMarcus Aldridge,1610612759.0,San Antonio,Spurs,SAS,0,0,,,,,,0,0,,,,,,1
285,0021700277,386,2,1,3,8:36 PM,5:35,,,MISS Gasol 26' 3PT Jump Shot,,,5.0,2200,Pau Gasol,1610612759.0,San Antonio,Spurs,SAS,0,0,,,,,,0,0,,,,,,1
286,0021700277,387,4,0,3,8:36 PM,5:32,,,Aldridge REBOUND (Off:2 Def:4),,,5.0,200746,LaMarcus Aldridge,1610612759.0,San Antonio,Spurs,SAS,0,0,,,,,,0,0,,,,,,1
287,0021700277,388,2,1,3,8:36 PM,5:27,,,MISS Green 26' 3PT Jump Shot,,,5.0,201980,Danny Green,1610612759.0,San Antonio,Spurs,SAS,0,0,,,,,,0,0,,,,,,1
288,0021700277,389,4,0,3,8:36 PM,5:24,Howard REBOUND (Off:4 Def:7),,,,,4.0,2730,Dwight Howard,1610612766.0,Charlotte,Hornets,CHA,0,0,,,,,,0,0,,,,,,1
289,0021700277,390,2,1,3,8:36 PM,5:13,MISS Kidd-Gilchrist 12' Jump Shot,,,,,4.0,203077,Michael Kidd-Gilchrist,1610612766.0,Charlotte,Hornets,CHA,0,0,,,,,,0,0,,,,,,1
290,0021700277,391,4,0,3,8:36 PM,5:11,,,Green REBOUND (Off:0 Def:5),,,5.0,201980,Danny Green,1610612759.0,San Antonio,Spurs,SAS,0,0,,,,,,0,0,,,,,,1
291,0021700277,392,9,1,3,8:36 PM,5:10,,,Spurs Timeout: Regular (Reg.2 Short 0),,,3.0,1610612759,,,,,,0,0,,,,,,0,0,,,,,,0
292,0021700277,393,8,0,3,8:37 PM,5:10,SUB: Kaminsky FOR Williams,,,,,4.0,101107,Marvin Williams,1610612766.0,Charlotte,Hornets,CHA,4,1626163,Frank Kaminsky,1610612766.0,Charlotte,Hornets,CHA,0,0,,,,,,0
